geometry,name
POINT (29.091248999991 41.150133000578),10
POINT (28.8608050000108 41.0290349991161),20
POINT (29.3635969999948 40.8405700005287),33
POINT (29.3615520108073 40.8394060242542),33
POINT (29.3193479999945 40.8208050005256),33
POINT (29.3147569999945 40.8192820005253),33
POINT (29.3073119999944 40.8144980005246),33
POINT (29.2771439999939 40.9323530005431),26
POINT (29.2789569999939 40.9303180005428),26
POINT (29.2551909999937 40.8988950005379),26
POINT (29.2670439999938 40.8984690005378),26
POINT (29.3100559999943 40.8692180005332),26
POINT (29.2966759999941 40.9282810005425),26
POINT (29.2297329999934 40.8869140005359),26
POINT (29.2982339999941 40.9354140005437),26
POINT (29.2866859824045 40.8959799649498),26
POINT (29.286529999994 40.8958380005374),26
POINT (29.3090219999942 40.9382750005441),26
POINT (29.3090809999942 40.9380910005441),26
POINT (29.3067219999943 40.8727130005338),26
POINT (29.2374129999935 40.8782400005346),26
POINT (29.2277655987431 40.8807998832382),26
POINT (29.3251539999943 40.9290660005427),26
POINT (29.3352419651885 40.9554460369104),26
POINT (28.8088189999826 41.0957850005687),7
POINT (28.808949999983 41.0956820005689),7
POINT (28.7932769999821 41.1086060005709),7
POINT (28.7859929999817 41.1122310005715),7
POINT (28.7862809999818 41.1120580005715),7
POINT (28.7889779999819 41.1105540005713),7
POINT (28.789706999982 41.1083660005709),7
POINT (28.6922729999668 41.0727770005583),7
POINT (28.6930429999754 41.0726960005646),7
POINT (29.0766349999908 41.1068630005709),10
POINT (29.0752149999908 41.106758000571),10
POINT (29.0839649536214 41.105318963586),10
POINT (29.087607999991 41.106937000571),10
POINT (29.089592999991 41.1138210005721),10
POINT (29.0949759999911 41.1157260005724),10
POINT (29.0985419999912 41.1249160005739),10
POINT (29.0940089999911 41.1298260005747),10
POINT (29.0878169549317 41.136199965781),10
POINT (29.0871619999909 41.1445820005771),10
POINT (29.5951929999964 41.1678820005811),29
POINT (29.3111419999944 40.8218770005257),33
POINT (29.3107399999944 40.8261170005264),33
POINT (29.3206529999945 40.8244300005261),33
POINT (29.2945339999942 40.8459750005295),33
POINT (29.3198449999945 40.830047000527),33
POINT (29.3547139999948 40.8259270005264),33
POINT (29.364770011398 40.8457159597913),33
POINT (29.2799149999941 40.8182240005251),33
POINT (29.3427799999946 40.8838250005355),33
POINT (29.3591529999948 40.8394270005285),33
POINT (29.2894419999942 40.8226530005259),33
POINT (29.3890880000081 40.9133419991187),33
POINT (29.3609469999948 40.8372160005282),33
POINT (29.3746959999948 40.9023190005385),33
POINT (29.3094619999944 40.8222430005258),33
POINT (29.3028449999943 40.8479520005298),33
